train_steps,agent_steps,return,env_steps,env,run
540000,20919898.0,2520.0,83679592.0,atari_montezuma_revenge,atari_montezuma_1
542000,20963126.0,,83852504.0,atari_montezuma_revenge,atari_montezuma_1
544000,21030138.0,2565.0,84120552.0,atari_montezuma_revenge,atari_montezuma_1
546000,21123811.0,,84495244.0,atari_montezuma_revenge,atari_montezuma_1
548000,21150811.0,,84603244.0,atari_montezuma_revenge,atari_montezuma_1
550000,21245311.0,2600.0,84981244.0,atari_montezuma_revenge,atari_montezuma_1
552000,21330462.0,,85321848.0,atari_montezuma_revenge,atari_montezuma_1
554000,21400166.0,2590.0,85600664.0,atari_montezuma_revenge,atari_montezuma_1
556000,21481166.0,,85924664.0,atari_montezuma_revenge,atari_montezuma_1
558000,21562166.0,,86248664.0,atari_montezuma_revenge,atari_montezuma_1
560000,21629666.0,2590.0,86518664.0,atari_montezuma_revenge,atari_montezuma_1
562000,21710666.0,,86842664.0,atari_montezuma_revenge,atari_montezuma_1
564000,21778166.0,,87112664.0,atari_montezuma_revenge,atari_montezuma_1
566000,21818666.0,2590.0,87274664.0,atari_montezuma_revenge,atari_montezuma_1
568000,21859166.0,,87436664.0,atari_montezuma_revenge,atari_montezuma_1
570000,21953666.0,,87814664.0,atari_montezuma_revenge,atari_montezuma_1
572000,22034666.0,2520.0,88138664.0,atari_montezuma_revenge,atari_montezuma_1
574000,22102166.0,,88408664.0,atari_montezuma_revenge,atari_montezuma_1
576000,22183166.0,,88732664.0,atari_montezuma_revenge,atari_montezuma_1
578000,22277666.0,2330.0,89110664.0,atari_montezuma_revenge,atari_montezuma_1
580000,22372166.0,,89488664.0,atari_montezuma_revenge,atari_montezuma_1
582000,22452293.0,,89809172.0,atari_montezuma_revenge,atari_montezuma_1
584000,22514143.0,2360.0,90056572.0,atari_montezuma_revenge,atari_montezuma_1
586000,22582808.0,,90331232.0,atari_montezuma_revenge,atari_montezuma_1
588000,22663293.0,2150.0,90653172.0,atari_montezuma_revenge,atari_montezuma_1
590000,22747348.5,2502.5,90989394.0,atari_montezuma_revenge,atari_montezuma_1
592000,22832998.0,2100.0,91331992.0,atari_montezuma_revenge,atari_montezuma_1
594000,22929652.0,2505.0,91718608.0,atari_montezuma_revenge,atari_montezuma_1
596000,22983569.5,2300.0,91934278.0,atari_montezuma_revenge,atari_montezuma_1
598000,23069198.0,,92276792.0,atari_montezuma_revenge,atari_montezuma_1
600000,23150198.0,,92600792.0,atari_montezuma_revenge,atari_montezuma_1
602000,23217698.0,2140.0,92870792.0,atari_montezuma_revenge,atari_montezuma_1
604000,23298698.0,,93194792.0,atari_montezuma_revenge,atari_montezuma_1
606000,23396228.0,2540.0,93584912.0,atari_montezuma_revenge,atari_montezuma_1
608000,23448039.0,,93792156.0,atari_montezuma_revenge,atari_montezuma_1
610000,23544531.0,,94178124.0,atari_montezuma_revenge,atari_montezuma_1
612000,23639031.0,2340.0,94556124.0,atari_montezuma_revenge,atari_montezuma_1
614000,23715980.0,,94863920.0,atari_montezuma_revenge,atari_montezuma_1
