env,method,run,env_steps,return
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,87000000.0,1660.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,88000000.0,2270.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,89000000.0,2580.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,90000000.0,2320.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,91000000.0,2540.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,92000000.0,2540.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,93000000.0,2520.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,94000000.0,2250.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,95000000.0,2280.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,96000000.0,2250.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,97000000.0,2570.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,98000000.0,2540.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,99000000.0,1930.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,100000000.0,2520.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,101000000.0,2520.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,102000000.0,2520.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,103000000.0,2530.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,104000000.0,2550.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,105000000.0,2550.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,106000000.0,2540.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,107000000.0,2500.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,108000000.0,2500.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,109000000.0,2540.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,110000000.0,2530.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,111000000.0,2570.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,112000000.0,2540.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,113000000.0,2350.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,114000000.0,2550.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,115000000.0,2570.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,116000000.0,2540.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,117000000.0,2530.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,118000000.0,2580.0
